Description,Price,Rating,Review_Count,URL
"boAt Airdopes 621 TWS Earbuds with 150 Hours Battery, Digital Battery Indicator, IPX7, IWP Technology, Bluetooth 5.0, Type-c Interface and Voice Assistant(Active Black)","₹1,999",3.7 out of 5 stars,"4,021",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A10431323VIG9GCKSTFP9&url=%2FboAt-Airdopes-621-Indicator-Technology%2Fdp%2FB08TT5FBJR%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528255%26sr%3D8-27-spons%26psc%3D1&qualifier=1633528255&id=8072616052978913&widgetName=sp_mtf
"Noise Air Buds+ Truly Wireless Earbuds with Instacharge & Hypersync Technology, Silicone tip, Superb Calling & 20 Hour Playtime - Pearl White","₹1,799",3.6 out of 5 stars,"1,935",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A10290373JMZ0X2FLYDNG&url=%2FNoise-Wireless-Instacharge-Hypersync-Technology%2Fdp%2FB092DHTXH2%2Fref%3Dsr_1_28_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528255%26sr%3D8-28-spons%26psc%3D1&qualifier=1633528255&id=8072616052978913&widgetName=sp_mtf
"Noise Air Buds+ Truly Wireless Earbuds with Instacharge & Hypersync Technology, Silicone tip, Superb Calling & 20 Hour Playtime - Pearl White","₹1,799",3.6 out of 5 stars,"1,935",https://www.amazon.in/Noise-Wireless-Instacharge-Hypersync-Technology/dp/B092DHTXH2/ref=sr_1_29?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-29
"Mivi DuoPods A25 True Wireless Earbuds with 40Hours Battery, 13mm Bass Drivers & Made in India. Bluetooth Wireless Earbuds with Immersive Sound Quality, Voice Assistant, Touch Control - Black",₹899,3.7 out of 5 stars,"10,527",https://www.amazon.in/Mivi-Wireless-Bluetooth-Immersive-Powerful/dp/B08ZYPBSSH/ref=sr_1_30?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-30
"Noise Buds VS103 - Truly Wireless Earbuds with 18-Hour Playtime, HyperSync Technology, Full Touch Controls and Voice Assistant (Jet Black)",₹899,3.8 out of 5 stars,"2,173",https://www.amazon.in/Noise-Buds-VS103-HyperSync-Technology/dp/B095Z1NBK6/ref=sr_1_31?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-31
"Mivi DuoPods A25 True Wireless Earbuds with 40Hours Battery, 13mm Bass Drivers & Made in India. Bluetooth Wireless Earbuds with Immersive Sound Quality, Voice Assistant, Touch Control - White",₹899,3.7 out of 5 stars,"10,527",https://www.amazon.in/Mivi-Wireless-Bluetooth-Immersive-Powerful/dp/B08ZYNXS5V/ref=sr_1_32?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-32
Boult Audio AirBass FX1 Truly Wireless Bluetooth in Ear Earbuds with Mic (Black),₹899,3.7 out of 5 stars,"7,153",https://www.amazon.in/Boult-Audio-AirBass-Wireless-Bluetooth/dp/B092VR6WYC/ref=sr_1_33?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-33
"Boult Audio AirBass Q10 True Wireless in-Ear Earphones with 24H Total Playtime, Touch Controls, IPX5 Water Resistant, Low Latency for Gaming (White)",₹799,3.7 out of 5 stars,"3,160",https://www.amazon.in/Boult-Audio-Wireless-Earphones-Resistant/dp/B08W9MSV7H/ref=sr_1_34?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-34
"Boult Audio AirBass Q10 True Wireless in-Ear Earphones with 24H Total Playtime, Touch Controls, IPX5 Water Resistant, Low Latency for Gaming (Black)",₹799,3.7 out of 5 stars,"3,160",https://www.amazon.in/Boult-Audio-Wireless-Earphones-Resistant/dp/B08W9BQ4G8/ref=sr_1_35?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-35
"Boult Audio AirBass TrueBuds True Wireless Earbuds with 30 Hours Total Playtime & Deep Bass, Type-C Fast Charging, Touch Controls, IPX7 Fully Waterproof, Noise Isolation and Voice Assistant (Grey)","₹1,299",3.7 out of 5 stars,"7,082",https://www.amazon.in/Boult-Audio-TrueBuds-Wireless-Waterproof/dp/B08CFCK6CW/ref=sr_1_36?dchild=1&keywords=boat+tws&qid=1633528255&sr=8-36
"Boult Audio AirBass TrueBuds True Wireless Earbuds with 30 Hours Total Playtime & Deep Bass, Type-C Fast Charging, Touch Controls, IPX7 Fully Waterproof, Noise Isolation and Voice Assistant (Grey)","₹1,299",3.7 out of 5 stars,"7,082",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0721045116CR5O0Q3JHJ&url=%2FBoult-Audio-TrueBuds-Wireless-Waterproof%2Fdp%2FB08CFCK6CW%2Fref%3Dsr_1_37_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528255%26sr%3D8-37-spons%26psc%3D1&qualifier=1633528255&id=8072616052978913&widgetName=sp_btf
"Zebronics Zeb-Sound Bomb 1 TWS Earbuds with BT5.0, Up to 12H Playback, Touch Controls, Voice Assistant, Splash Proof with Type C Portable Charging Case (Blue)","₹1,049",3.5 out of 5 stars,"1,374",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A0436002IDV7VLFFF42F&url=%2FZebronics-Zeb-Sound-Playback-Controls-Assistant%2Fdp%2FB098XR32X2%2Fref%3Dsr_1_38_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528255%26sr%3D8-38-spons%26psc%3D1&qualifier=1633528255&id=8072616052978913&widgetName=sp_btf
"boAt Airdopes 441 TWS Ear-Buds with IWP Technology, Immersive Audio, Up to 30H Total Playback, IPX7 Water Resistance, Super Touch Controls, Secure Sports Fit & Type-C Port(Sporty Blue)","₹1,799",4.0 out of 5 stars,"102,497",https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A04189242HBZ0T59TCUX0&url=%2FAirdopes-441-Technology-Immersive-Resistance%2Fdp%2FB086WMR98R%2Fref%3Dsr_1_33_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-33-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_atf_next
Hammer KO Latest Sports True Wireless in Ear Earbuds Earphones Bluetooth 5.0 with Mic 5H Playtime Range 10M Auto Pairing Sports Headset Deep Bass Full Touch Control (Black),"₹2,495",3.4 out of 5 stars,643,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_aps_sr_pg3_1?ie=UTF8&adId=A00936583RX74VG5D2TCG&url=%2FHammer-KO-Wireless-Earphones-Bluetooth%2Fdp%2FB0897J1Q81%2Fref%3Dsr_1_34_sspa%3Fdchild%3D1%26keywords%3Dboat%2Btws%26qid%3D1633528260%26sr%3D8-34-spons%26psc%3D1&qualifier=1633528260&id=6304375423446129&widgetName=sp_atf_next
OnePlus Bullets Wireless Z Bass Edition (Bass Blue),"₹1,799",4.3 out of 5 stars,"113,835",https://www.amazon.in/OnePlus-Bullets-Wireless-Bass-Blue/dp/B08HLSW3Y9/ref=sr_1_35?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-35
"pTron Bassbuds Plus True Wireless Bluetooth 5.0 Headphones with Deep Bass, Made in India, IPX4 Water/Sweat Resistant, Passive Noise Canceling Earbuds, Digital Display Case & Built-in HD Mic - (Black)",₹699,3.6 out of 5 stars,"7,446",https://www.amazon.in/Bassbuds-Plus-Bluetooth-Headphones-Resistant/dp/B08S19YC6H/ref=sr_1_36?dchild=1&keywords=boat+tws&qid=1633528260&sr=8-36
